Question,Option1,Option2,Option3,Option4,Answer
What is the capital of Canada? (Set 9),Toronto,Vancouver,Ottawa,Montreal,Ottawa
What year did World War II end? (Set 3),1944,1945,1946,1947,1945
Which vitamin is produced when skin is exposed to sunlight? (Set 4),A,B,C,D,D
Which is the second most spoken language in the world? (Set 5),English,Spanish,Hindi,Arabic,Spanish
Which bird is a universal symbol of peace? (Set 3),Crow,Swan,Dove,Eagle,Dove
Which is the tallest mountain in the world? (Set 8),K2,Everest,Makalu,Kanchenjunga,Everest
Who wrote 'Hamlet'? (Set 6),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What do we call animals that eat both plants and meat? (Set 1),Herbivores,Carnivores,Omnivores,Insectivores,Omnivores
What is the hardest natural substance? (Set 5),Gold,Iron,Diamond,Silver,Diamond
What year did World War II end? (Set 8),1944,1945,1946,1947,1945
Who invented the telephone? (Set 2),Edison,Bell,Tesla,Marconi,Bell
What is the boiling point of water? (Set 5),90°C,100°C,110°C,120°C,100°C
What is the national flower of India? (Set 4),Rose,Lotus,Marigold,Jasmine,Lotus
What is the chemical symbol for gold? (Set 3),Au,Ag,Gd,Go,Au
Who was the first President of India? (Set 6),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
Which planet is known as the Red Planet? (Set 10),Earth,Venus,Mars,Jupiter,Mars
What is the largest mammal? (Set 7),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
Which planet is closest to the sun? (Set 5),Earth,Mercury,Venus,Mars,Mercury
How many continents are there? (Set 10),5,6,7,8,7
Which language has the most native speakers? (Set 5),English,Hindi,Mandarin,Spanish,Mandarin
What is H2O more commonly known as? (Set 3),Oxygen,Hydrogen,Water,Steam,Water
What is the square root of 144? (Set 9),10,11,12,13,12
What is the freezing point of water? (Set 7),0°C,32°C,10°C,100°C,0°C
Who wrote 'Hamlet'? (Set 1),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What is the largest island in the world? (Set 3),Greenland,Australia,Iceland,Borneo,Greenland
Which is the longest river in the world? (Set 8),Nile,Amazon,Yangtze,Mississippi,Nile
In which country are the pyramids located? (Set 3),India,Mexico,Egypt,Iraq,Egypt
What is the square root of 144? (Set 2),10,11,12,13,12
Which animal is known as the ship of the desert? (Set 4),Horse,Camel,Donkey,Elephant,Camel
In which country are the pyramids located? (Set 5),India,Mexico,Egypt,Iraq,Egypt
Which day is celebrated as World Environment Day? (Set 7),June 5,April 22,May 1,October 16,June 5
Who discovered gravity? (Set 10),Newton,Einstein,Tesla,Galileo,Newton
What is the largest mammal? (Set 4),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
Who wrote 'Hamlet'? (Set 5),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What does DNA stand for? (Set 4),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
What is the national flower of India? (Set 9),Rose,Lotus,Marigold,Jasmine,Lotus
Which continent is known as the Dark Continent? (Set 3),Asia,Africa,Australia,Europe,Africa
Which vitamin is produced when skin is exposed to sunlight? (Set 2),A,B,C,D,D
What is the main ingredient in guacamole? (Set 3),Onion,Tomato,Avocado,Pepper,Avocado
What is the main source of energy for Earth? (Set 4),Wind,Coal,Sun,Water,Sun
What is the square root of 144? (Set 7),10,11,12,13,12
What is the main source of energy for Earth? (Set 1),Wind,Coal,Sun,Water,Sun
Which day is celebrated as World Environment Day? (Set 9),June 5,April 22,May 1,October 16,June 5
Who wrote 'Hamlet'? (Set 10),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What is the square root of 144? (Set 10),10,11,12,13,12
What is the capital of France? (Set 5),Berlin,Madrid,Paris,Rome,Paris
What is the main ingredient in guacamole? (Set 7),Onion,Tomato,Avocado,Pepper,Avocado
Which continent is known as the Dark Continent? (Set 7),Asia,Africa,Australia,Europe,Africa
Which country invented paper? (Set 6),India,Greece,China,Egypt,China
Which organ purifies our blood? (Set 4),Heart,Lungs,Liver,Kidneys,Kidneys
Who painted the Mona Lisa? (Set 4),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
Which is the tallest mountain in the world? (Set 6),K2,Everest,Makalu,Kanchenjunga,Everest
Which metal is liquid at room temperature? (Set 2),Gold,Mercury,Silver,Zinc,Mercury
Which part of the plant conducts photosynthesis? (Set 9),Root,Stem,Leaf,Flower,Leaf
How many continents are there? (Set 5),5,6,7,8,7
Which country invented paper? (Set 5),India,Greece,China,Egypt,China
How many bones are there in the human body? (Set 4),206,201,208,210,206
Which country invented paper? (Set 1),India,Greece,China,Egypt,China
What do bees collect and use to make honey? (Set 5),Nectar,Pollen,Water,Sap,Nectar
What is the main source of energy for Earth? (Set 3),Wind,Coal,Sun,Water,Sun
Which is the second most spoken language in the world? (Set 1),English,Spanish,Hindi,Arabic,Spanish
Which part of the plant conducts photosynthesis? (Set 10),Root,Stem,Leaf,Flower,Leaf
What is the smallest planet in our solar system? (Set 9),Venus,Mercury,Mars,Pluto,Mercury
What currency is used in Japan? (Set 3),Yen,Won,Ruble,Dollar,Yen
Which instrument is used to measure temperature? (Set 8),Ruler,Barometer,Thermometer,Altimeter,Thermometer
What year did World War II end? (Set 9),1944,1945,1946,1947,1945
What is the boiling point of water? (Set 4),90°C,100°C,110°C,120°C,100°C
Which is the longest river in the world? (Set 7),Nile,Amazon,Yangtze,Mississippi,Nile
Which gas is essential for us to breathe? (Set 10),Hydrogen,Carbon Dioxide,Oxygen,Nitrogen,Oxygen
Who invented the telephone? (Set 3),Edison,Bell,Tesla,Marconi,Bell
Which instrument is used to measure temperature? (Set 3),Ruler,Barometer,Thermometer,Altimeter,Thermometer
What is the main source of energy for Earth? (Set 7),Wind,Coal,Sun,Water,Sun
What is the largest mammal? (Set 8),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
What is H2O more commonly known as? (Set 7),Oxygen,Hydrogen,Water,Steam,Water
What do bees collect and use to make honey? (Set 8),Nectar,Pollen,Water,Sap,Nectar
What is H2O more commonly known as? (Set 9),Oxygen,Hydrogen,Water,Steam,Water
What is the hardest natural substance? (Set 8),Gold,Iron,Diamond,Silver,Diamond
Which day is celebrated as World Environment Day? (Set 10),June 5,April 22,May 1,October 16,June 5
What is H2O more commonly known as? (Set 2),Oxygen,Hydrogen,Water,Steam,Water
Who was the first man on the Moon? (Set 1),Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
Which is the tallest mountain in the world? (Set 5),K2,Everest,Makalu,Kanchenjunga,Everest
Which instrument is used to measure temperature? (Set 9),Ruler,Barometer,Thermometer,Altimeter,Thermometer
Which ocean is the largest? (Set 7),Atlantic,Indian,Southern,Pacific,Pacific
Which instrument is used to measure temperature? (Set 5),Ruler,Barometer,Thermometer,Altimeter,Thermometer
What is the national flower of India? (Set 3),Rose,Lotus,Marigold,Jasmine,Lotus
Who invented the telephone? (Set 10),Edison,Bell,Tesla,Marconi,Bell
In which country are the pyramids located? (Set 10),India,Mexico,Egypt,Iraq,Egypt
What is the main gas found in the air we breathe? (Set 2),Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,Nitrogen
What is the capital of Canada? (Set 8),Toronto,Vancouver,Ottawa,Montreal,Ottawa
Which language has the most native speakers? (Set 1),English,Hindi,Mandarin,Spanish,Mandarin
What is the national sport of Japan? (Set 2),Karate,Sumo Wrestling,Judo,Kendo,Sumo Wrestling
How many continents are there? (Set 7),5,6,7,8,7
Which organ purifies our blood? (Set 10),Heart,Lungs,Liver,Kidneys,Kidneys
What is the hardest natural substance? (Set 6),Gold,Iron,Diamond,Silver,Diamond
Which continent is known as the Dark Continent? (Set 9),Asia,Africa,Australia,Europe,Africa
What is H2O more commonly known as? (Set 6),Oxygen,Hydrogen,Water,Steam,Water
Which bird is a universal symbol of peace? (Set 2),Crow,Swan,Dove,Eagle,Dove
What is the smallest planet in our solar system? (Set 1),Venus,Mercury,Mars,Pluto,Mercury
What is the chemical symbol for gold? (Set 10),Au,Ag,Gd,Go,Au
Which is the second most spoken language in the world? (Set 4),English,Spanish,Hindi,Arabic,Spanish
Who was the first President of India? (Set 1),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
What year did World War II end? (Set 5),1944,1945,1946,1947,1945
Who is known as the father of computers? (Set 10),Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
How many bones are there in the human body? (Set 5),206,201,208,210,206
What do we call animals that eat both plants and meat? (Set 8),Herbivores,Carnivores,Omnivores,Insectivores,Omnivores
Who was the first man on the Moon? (Set 5),Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
How many continents are there? (Set 8),5,6,7,8,7
What is the largest mammal? (Set 2),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
Which language has the most native speakers? (Set 3),English,Hindi,Mandarin,Spanish,Mandarin
Which ocean is the largest? (Set 5),Atlantic,Indian,Southern,Pacific,Pacific
Who was the first President of India? (Set 9),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
Who was the first President of India? (Set 2),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
What is the main source of energy for Earth? (Set 6),Wind,Coal,Sun,Water,Sun
Which country invented paper? (Set 10),India,Greece,China,Egypt,China
What year did World War II end? (Set 10),1944,1945,1946,1947,1945
Who painted the Mona Lisa? (Set 6),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
What is the capital of Canada? (Set 4),Toronto,Vancouver,Ottawa,Montreal,Ottawa
Which day is celebrated as World Environment Day? (Set 1),June 5,April 22,May 1,October 16,June 5
Which planet is closest to the sun? (Set 6),Earth,Mercury,Venus,Mars,Mercury
Which is the tallest mountain in the world? (Set 4),K2,Everest,Makalu,Kanchenjunga,Everest
How many continents are there? (Set 9),5,6,7,8,7
What is the national sport of Japan? (Set 9),Karate,Sumo Wrestling,Judo,Kendo,Sumo Wrestling
Who wrote 'Hamlet'? (Set 7),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
How many players are there in a cricket team? (Set 7),10,11,12,9,11
Which organ purifies our blood? (Set 8),Heart,Lungs,Liver,Kidneys,Kidneys
What year did World War II end? (Set 1),1944,1945,1946,1947,1945
What is the main ingredient in guacamole? (Set 2),Onion,Tomato,Avocado,Pepper,Avocado
What is the largest island in the world? (Set 6),Greenland,Australia,Iceland,Borneo,Greenland
Who invented the telephone? (Set 6),Edison,Bell,Tesla,Marconi,Bell
Which continent is known as the Dark Continent? (Set 10),Asia,Africa,Australia,Europe,Africa
What is the square root of 144? (Set 5),10,11,12,13,12
Which animal is known as the ship of the desert? (Set 9),Horse,Camel,Donkey,Elephant,Camel
What is the largest mammal? (Set 3),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
Which day is celebrated as World Environment Day? (Set 4),June 5,April 22,May 1,October 16,June 5
Who is known as the father of computers? (Set 6),Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
What is the national sport of Japan? (Set 6),Karate,Sumo Wrestling,Judo,Kendo,Sumo Wrestling
Which ocean is the largest? (Set 4),Atlantic,Indian,Southern,Pacific,Pacific
Which planet is closest to the sun? (Set 4),Earth,Mercury,Venus,Mars,Mercury
What is the capital of France? (Set 7),Berlin,Madrid,Paris,Rome,Paris
What is the hardest natural substance? (Set 4),Gold,Iron,Diamond,Silver,Diamond
What is the chemical symbol for gold? (Set 6),Au,Ag,Gd,Go,Au
Which language has the most native speakers? (Set 2),English,Hindi,Mandarin,Spanish,Mandarin
How many continents are there? (Set 1),5,6,7,8,7
Which instrument is used to measure temperature? (Set 4),Ruler,Barometer,Thermometer,Altimeter,Thermometer
Which ocean is the largest? (Set 6),Atlantic,Indian,Southern,Pacific,Pacific
What is the main ingredient in guacamole? (Set 4),Onion,Tomato,Avocado,Pepper,Avocado
In which country are the pyramids located? (Set 4),India,Mexico,Egypt,Iraq,Egypt
Who was the first man on the Moon? (Set 3),Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
Who wrote 'Hamlet'? (Set 8),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
How many bones are there in the human body? (Set 10),206,201,208,210,206
Which planet is closest to the sun? (Set 3),Earth,Mercury,Venus,Mars,Mercury
Which day is celebrated as World Environment Day? (Set 5),June 5,April 22,May 1,October 16,June 5
In which country are the pyramids located? (Set 6),India,Mexico,Egypt,Iraq,Egypt
Which is the second most spoken language in the world? (Set 8),English,Spanish,Hindi,Arabic,Spanish
What is the main source of energy for Earth? (Set 9),Wind,Coal,Sun,Water,Sun
Which day is celebrated as World Environment Day? (Set 2),June 5,April 22,May 1,October 16,June 5
How many bones are there in the human body? (Set 2),206,201,208,210,206
Which country invented paper? (Set 2),India,Greece,China,Egypt,China
What is the capital of France? (Set 10),Berlin,Madrid,Paris,Rome,Paris
Who discovered gravity? (Set 6),Newton,Einstein,Tesla,Galileo,Newton
What is the national sport of Japan? (Set 4),Karate,Sumo Wrestling,Judo,Kendo,Sumo Wrestling
Which planet is known as the Red Planet? (Set 2),Earth,Venus,Mars,Jupiter,Mars
Which organ purifies our blood? (Set 9),Heart,Lungs,Liver,Kidneys,Kidneys
Who was the first man on the Moon? (Set 2),Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
Which country invented paper? (Set 3),India,Greece,China,Egypt,China
Which is the tallest mountain in the world? (Set 1),K2,Everest,Makalu,Kanchenjunga,Everest
What currency is used in Japan? (Set 10),Yen,Won,Ruble,Dollar,Yen
Which language has the most native speakers? (Set 10),English,Hindi,Mandarin,Spanish,Mandarin
What is the largest mammal? (Set 9),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
What is the square root of 144? (Set 3),10,11,12,13,12
Which gas is essential for us to breathe? (Set 6),Hydrogen,Carbon Dioxide,Oxygen,Nitrogen,Oxygen
What do bees collect and use to make honey? (Set 7),Nectar,Pollen,Water,Sap,Nectar
Which metal is liquid at room temperature? (Set 5),Gold,Mercury,Silver,Zinc,Mercury
Who invented the telephone? (Set 1),Edison,Bell,Tesla,Marconi,Bell
Which metal is liquid at room temperature? (Set 10),Gold,Mercury,Silver,Zinc,Mercury
Which gas is essential for us to breathe? (Set 8),Hydrogen,Carbon Dioxide,Oxygen,Nitrogen,Oxygen
What is the main ingredient in guacamole? (Set 1),Onion,Tomato,Avocado,Pepper,Avocado
Which vitamin is produced when skin is exposed to sunlight? (Set 8),A,B,C,D,D
How many players are there in a cricket team? (Set 9),10,11,12,9,11
Which ocean is the largest? (Set 9),Atlantic,Indian,Southern,Pacific,Pacific
What year did World War II end? (Set 7),1944,1945,1946,1947,1945
Who painted the Mona Lisa? (Set 7),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
What do bees collect and use to make honey? (Set 2),Nectar,Pollen,Water,Sap,Nectar
Which continent is known as the Dark Continent? (Set 1),Asia,Africa,Australia,Europe,Africa
Who painted the Mona Lisa? (Set 9),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
Which animal is known as the ship of the desert? (Set 1),Horse,Camel,Donkey,Elephant,Camel
Who was the first President of India? (Set 7),Rajendra Prasad,Nehru,Gandhi,Zakir Hussain,Rajendra Prasad
Which country invented paper? (Set 4),India,Greece,China,Egypt,China
What is the capital of France? (Set 4),Berlin,Madrid,Paris,Rome,Paris
Who is known as the father of computers? (Set 8),Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
Which vitamin is produced when skin is exposed to sunlight? (Set 6),A,B,C,D,D
Which festival is known as the festival of lights? (Set 8),Holi,Diwali,Eid,Christmas,Diwali
What is the capital of France? (Set 3),Berlin,Madrid,Paris,Rome,Paris
How many players are there in a cricket team? (Set 4),10,11,12,9,11
Who discovered gravity? (Set 3),Newton,Einstein,Tesla,Galileo,Newton
What is the freezing point of water? (Set 4),0°C,32°C,10°C,100°C,0°C
How many bones are there in the human body? (Set 1),206,201,208,210,206
What do we call animals that eat both plants and meat? (Set 7),Herbivores,Carnivores,Omnivores,Insectivores,Omnivores
Which bird is a universal symbol of peace? (Set 1),Crow,Swan,Dove,Eagle,Dove
Which instrument is used to measure temperature? (Set 6),Ruler,Barometer,Thermometer,Altimeter,Thermometer
What does DNA stand for? (Set 10),Data Network Access,Deoxyribonucleic Acid,Digital Network Algorithm,None,Deoxyribonucleic Acid
Which country invented paper? (Set 7),India,Greece,China,Egypt,China
What currency is used in Japan? (Set 5),Yen,Won,Ruble,Dollar,Yen
What is the boiling point of water? (Set 6),90°C,100°C,110°C,120°C,100°C
Which day is celebrated as World Environment Day? (Set 6),June 5,April 22,May 1,October 16,June 5
What is the freezing point of water? (Set 3),0°C,32°C,10°C,100°C,0°C
What is the main source of energy for Earth? (Set 2),Wind,Coal,Sun,Water,Sun
What is the boiling point of water? (Set 8),90°C,100°C,110°C,120°C,100°C
What is the capital of Canada? (Set 3),Toronto,Vancouver,Ottawa,Montreal,Ottawa
Which animal is known as the ship of the desert? (Set 6),Horse,Camel,Donkey,Elephant,Camel
Which part of the plant conducts photosynthesis? (Set 5),Root,Stem,Leaf,Flower,Leaf
Which vitamin is produced when skin is exposed to sunlight? (Set 9),A,B,C,D,D
What is the chemical symbol for gold? (Set 1),Au,Ag,Gd,Go,Au
What is the main gas found in the air we breathe? (Set 10),Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,Nitrogen
What is the smallest planet in our solar system? (Set 5),Venus,Mercury,Mars,Pluto,Mercury
What is the national flower of India? (Set 5),Rose,Lotus,Marigold,Jasmine,Lotus
What is the main gas found in the air we breathe? (Set 5),Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,Nitrogen
What is the freezing point of water? (Set 2),0°C,32°C,10°C,100°C,0°C
Which bird is a universal symbol of peace? (Set 9),Crow,Swan,Dove,Eagle,Dove
What is the capital of France? (Set 2),Berlin,Madrid,Paris,Rome,Paris
What year did World War II end? (Set 4),1944,1945,1946,1947,1945
What do bees collect and use to make honey? (Set 3),Nectar,Pollen,Water,Sap,Nectar
Who wrote 'Hamlet'? (Set 9),Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,William Shakespeare
What is the largest mammal? (Set 5),Elephant,Giraffe,Blue Whale,Great White Shark,Blue Whale
In which country are the pyramids located? (Set 7),India,Mexico,Egypt,Iraq,Egypt
Who was the first man on the Moon? (Set 8),Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
What is the largest island in the world? (Set 7),Greenland,Australia,Iceland,Borneo,Greenland
What is the largest island in the world? (Set 9),Greenland,Australia,Iceland,Borneo,Greenland
Who is known as the father of computers? (Set 5),Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
Which animal is known as the ship of the desert? (Set 2),Horse,Camel,Donkey,Elephant,Camel
Who painted the Mona Lisa? (Set 1),Van Gogh,Da Vinci,Picasso,Michelangelo,Da Vinci
What is the national sport of Japan? (Set 5),Karate,Sumo Wrestling,Judo,Kendo,Sumo Wrestling
What is the chemical symbol for gold? (Set 5),Au,Ag,Gd,Go,Au
What is the freezing point of water? (Set 5),0°C,32°C,10°C,100°C,0°C
What is the hardest natural substance? (Set 10),Gold,Iron,Diamond,Silver,Diamond
How many players are there in a cricket team? (Set 2),10,11,12,9,11
What is the chemical symbol for gold? (Set 4),Au,Ag,Gd,Go,Au
Which is the tallest mountain in the world? (Set 3),K2,Everest,Makalu,Kanchenjunga,Everest
Who discovered gravity? (Set 4),Newton,Einstein,Tesla,Galileo,Newton
What do bees collect and use to make honey? (Set 6),Nectar,Pollen,Water,Sap,Nectar
Which organ purifies our blood? (Set 3),Heart,Lungs,Liver,Kidneys,Kidneys
Which country invented paper? (Set 9),India,Greece,China,Egypt,China
Which planet is known as the Red Planet? (Set 8),Earth,Venus,Mars,Jupiter,Mars
What is the national flower of India? (Set 7),Rose,Lotus,Marigold,Jasmine,Lotus
What is the freezing point of water? (Set 9),0°C,32°C,10°C,100°C,0°C
Which continent is known as the Dark Continent? (Set 8),Asia,Africa,Australia,Europe,Africa
Which day is celebrated as World Environment Day? (Set 8),June 5,April 22,May 1,October 16,June 5
What is the main gas found in the air we breathe? (Set 1),Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,Nitrogen
What is the freezing point of water? (Set 6),0°C,32°C,10°C,100°C,0°C
Who discovered gravity? (Set 2),Newton,Einstein,Tesla,Galileo,Newton
Who was the first man on the Moon? (Set 7),Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Alan Shepard,Neil Armstrong
What is the square root of 144? (Set 4),10,11,12,13,12
Which metal is liquid at room temperature? (Set 4),Gold,Mercury,Silver,Zinc,Mercury
What is the main source of energy for Earth? (Set 8),Wind,Coal,Sun,Water,Sun
Which animal is known as the ship of the desert? (Set 8),Horse,Camel,Donkey,Elephant,Camel
Which festival is known as the festival of lights? (Set 5),Holi,Diwali,Eid,Christmas,Diwali
Which is the longest river in the world? (Set 3),Nile,Amazon,Yangtze,Mississippi,Nile
Which continent is known as the Dark Continent? (Set 6),Asia,Africa,Australia,Europe,Africa
What is the boiling point of water? (Set 7),90°C,100°C,110°C,120°C,100°C
